,paper_id,author_id,author_name
736,5861,2816,Ruslan R. Salakhutdinov
737,5861,6301,Roger B. Grosse
738,5861,1370,Brendan J. Frey
739,5862,8193,Steve K. Esser
740,5862,8194,Rathinakumar Appuswamy
741,5862,2692,Paul Merolla
742,5862,6883,John V. Arthur
743,5862,8195,Dharmendra S. Modha
744,5863,8196,Yuval Harel
745,5863,1431,Ron Meir
746,5863,709,Manfred Opper
747,5864,8197,Ayan Chakrabarti
748,5865,2037,Pascal Vincent
749,5865,8198,Alexandre de Br?bisson
750,5865,8199,Xavier Bouthillier
751,5866,5571,Oriol Vinyals
752,5866,8200,Meire Fortunato
753,5866,8201,Navdeep Jaitly
754,5867,8202,Peter Flach
755,5867,8203,Meelis Kull
756,5868,5174,Kevin G. Jamieson
757,5868,8204,Lalit Jain
758,5868,8205,Chris Fernandez
759,5868,8206,Nicholas J. Glattard
760,5868,6322,Rob Nowak
761,5869,3394,Vikas Sindhwani
762,5869,8207,Tara Sainath
763,5869,2539,Sanjiv Kumar
764,5870,6526,Yann Dauphin
765,5870,8208,Harm de Vries
766,5870,178,Yoshua Bengio
767,5871,8209,Jacob Gardner
768,5871,8210,Gustavo Malkomes
769,5871,7864,Roman Garnett
770,5871,2966,Kilian Q. Weinberger
771,5871,8211,Dennis Barbour
772,5871,3605,John P. Cunningham
773,5872,8212,Matthias Feurer
774,5872,8213,Aaron Klein
775,5872,8214,Katharina Eggensperger
776,5872,8215,Jost Springenberg
777,5872,8216,Manuel Blum
778,5872,8217,Frank Hutter
779,5873,8218,Peter Schulam
780,5873,8219,Suchi Saria
781,5874,8220,David Moore
782,5874,2312,Stuart J. Russell
783,5875,5588,James Hensman
784,5875,8221,Alexander G. Matthews
785,5875,8222,Maurizio Filippone
786,5875,1020,Zoubin Ghahramani
787,5876,6631,Trevor Campbell
788,5876,8223,Julian Straub
789,5876,1965,John W. Fisher III
790,5876,6413,Jonathan P. How
